release_year,plotting_genre,count
2015,Action,1393
2015,Adventure,545
2015,Casual,402
2015,Indie,382
2015,Simulation,199
2015,Other,352
2016,Action,2071
2016,Adventure,873
2016,Casual,928
2016,Indie,591
2016,Simulation,328
2016,Other,586
2017,Action,2965
2017,Adventure,1293
2017,Casual,1172
2017,Indie,801
2017,Simulation,384
2017,Other,675
2018,Action,3923
2018,Adventure,1671
2018,Casual,1795
2018,Indie,1093
2018,Simulation,374
2018,Other,924
2019,Action,2098
2019,Adventure,827
2019,Casual,923
2019,Indie,562
2019,Simulation,226
2019,Other,460
